221824

56, 31, 39
357, 111, 48
98, 252, 177
332, 264, 176
258, 375, 117
362, 203, 105
301, 237, 127, 271
395, 49, 443, 462
220, 106, 148, 343
413, 455, 260
199, 447, 346, 291
192, 317, 315
335, 157, 238, 55
270, 293, 420
227, 409, 331, 344
185, 14, 189
5, 361, 23
408, 430, 334
273, 89, 296
62, 70, 87, 262
345, 428, 18
151, 256, 263
300, 421, 305
465, 382, 453
67, 188, 51
285, 181, 136
239, 398, 107
206, 431, 209
128, 330, 13
84, 427, 458, 313
194, 374, 68
10, 149, 385
90, 446, 369
402, 130, 364, 178
135, 65, 414, 449
316, 85, 359
373, 8, 288
141, 162, 205
66, 79, 411
143, 306, 204, 351
389, 392, 266, 198
202, 247, 410
125, 168, 426, 371
231, 295, 310, 167
452, 222, 93, 9
242, 418, 348
380, 147, 454, 92
467, 360, 86
1, 114, 19
401, 53, 60
165, 115, 250
249, 372, 353
318, 45, 322
391, 365, 112
29, 221, 211
311, 104, 47
153, 76, 314
91, 160, 379, 33
16, 440, 464
120, 11, 163, 299
328, 302, 451
461, 164, 146, 272
184, 103, 72, 44
197, 140, 366, 324
435, 329, 304
40, 321, 172
187, 144, 138
82, 303, 193
337, 468, 25, 28
96, 190, 422, 358
232, 287, 448, 445
182, 230, 381
367, 466, 463
388, 118, 248, 217
424, 64, 100, 124
245, 207, 54
77, 155, 323
15, 43, 196
183, 224, 129, 186
354, 223, 131, 417
57, 320, 154, 191
158, 179, 404, 240
400, 235, 226
109, 325, 215, 126
132, 459, 265
339, 279, 276, 32
283, 30, 169
63, 236, 73
439, 286, 38
225, 292, 21, 336
243, 99, 383, 356
312, 460, 7
133, 110, 201
159, 6, 444
80, 17, 241, 269
457, 406, 282, 284
432, 152, 246, 370
397, 42, 101
214, 234, 156
173, 122, 113
26, 326, 116, 275
210, 394, 281
212, 24, 75
150, 433, 403
429, 363, 41
139, 251, 416
259, 161, 425
61, 436, 423
347, 12, 27
267, 261, 378
456, 166, 419
399, 233, 407
384, 142, 208
268, 35, 390, 441
3, 289, 213
36, 71, 2
442, 298, 59, 352
123, 255, 297, 387
415, 52, 200, 434
355, 405, 257
368, 175, 22
137, 119, 171, 174
377, 333, 437
244, 121, 412
20, 4, 349
81, 280, 102, 78
216, 94, 319
396, 195, 294, 46
108, 277, 50
34, 170, 327, 340
180, 88, 290, 253
74, 218, 450
58, 145, 309, 350
219, 341, 69, 338
438, 307, 97
83, 134, 308
229, 278, 95, 386
37, 228, 393
254, 376, 274, 342
