147713

76, 300, 55, 299
28, 214, 186, 259
337, 34, 123, 85
62, 268, 185, 139
289, 101, 297, 364
97, 133, 287, 270
44, 302, 158, 319
149, 291, 176, 182
348, 53, 6, 99
241, 86, 130, 341
339, 61, 282, 12
125, 327, 363, 370
326, 308, 281, 25
267, 141, 71, 362
2, 153, 10, 169
174, 165, 162, 272
210, 103, 15, 260
335, 92, 75, 144
80, 246, 17, 23
70, 216, 219, 225
284, 135, 293, 8
20, 269, 295, 38
231, 90, 152, 358
11, 237, 196, 104
98, 204, 355, 233
33, 244, 134, 336
32, 190, 305, 374
136, 283, 145, 142
256, 197, 223, 330
66, 373, 328, 155
14, 372, 279, 40
170, 159, 102, 72
356, 306, 1, 84
240, 371, 352, 290
215, 247, 45, 172
19, 13, 277, 187
349, 63, 22, 157
338, 151, 16, 333
252, 117, 257, 334
24, 367, 350, 325
30, 199, 294, 227
304, 207, 263, 127
43, 230, 242, 39
91, 106, 74, 206
226, 120, 188, 26
58, 57, 201, 160
266, 202, 324, 224
248, 83, 292, 77
235, 107, 111, 118
180, 191, 323, 154
95, 273, 195, 96
332, 312, 296, 271
105, 361, 239, 36
310, 218, 353, 311
73, 344, 346, 254
313, 251, 156, 114
369, 52, 200, 50
168, 309, 132, 54
280, 340, 342, 35
343, 116, 375, 301
181, 48, 192, 351
275, 317, 93, 211
285, 82, 150, 212
59, 258, 261, 9
250, 178, 198, 331
31, 131, 213, 314
115, 119, 298, 110
264, 161, 368, 166
7, 262, 100, 37
89, 222, 347
124, 94, 126, 243
49, 81, 315, 365
46, 354, 288, 87
173, 253, 236, 140
183, 69, 286, 27
129, 18, 3, 41
321, 360, 163, 238
179, 79, 146, 164
194, 5, 320, 303
112, 51, 345, 64
148, 175, 29, 78
316, 208, 234, 137
109, 221, 184, 255
42, 359, 209, 278
318, 60, 357, 121
307, 205, 128, 68
228, 171, 65, 245
232, 88, 21, 193
143, 274, 177, 220
113, 189, 108, 265
167, 217, 147, 122
47, 203, 329, 366
276, 229, 138, 4
322, 67, 56, 249
