147713

47, 203, 329, 366
109, 221, 184, 255
233, 355, 204, 98
137, 234, 208, 316
318, 60, 357, 121
68, 128, 205, 307
322, 67, 56, 249
272, 162, 165, 174
235, 107, 111, 118
24, 367, 350, 325
179, 79, 146, 164
125, 327, 363, 370
267, 141, 71, 362
290, 352, 371, 240
212, 150, 82, 285
42, 359, 209, 278
166, 368, 161, 264
113, 189, 108, 265
38, 295, 269, 20
182, 176, 291, 149
28, 214, 186, 259
44, 302, 158, 319
157, 22, 63, 349
11, 237, 196, 104
41, 3, 18, 129
33, 244, 134, 336
58, 57, 201, 160
124, 94, 126, 243
220, 177, 274, 143
171, 65, 245, 228
347, 222, 89
95, 273, 195, 96
78, 29, 175, 148
351, 192, 48, 181
155, 328, 373, 66
31, 131, 213, 314
73, 344, 346, 254
211, 93, 317, 275
99, 6, 53, 348
2, 153, 10, 169
8, 293, 135, 284
110, 298, 119, 115
122, 147, 217, 167
301, 375, 116, 343
142, 145, 283, 136
369, 52, 200, 50
87, 288, 354, 46
310, 218, 353, 311
173, 253, 236, 140
341, 130, 86, 241
332, 312, 296, 271
25, 281, 308, 326
339, 61, 282, 12
19, 13, 277, 187
39, 242, 230, 43
32, 190, 305, 374
303, 320, 5, 194
26, 188, 120, 226
88, 232, 21, 193
356, 306, 1, 84
127, 263, 207, 304
59, 258, 261, 9
334, 257, 117, 252
330, 223, 197, 256
338, 151, 16, 333
139, 185, 268, 62
280, 340, 342, 35
180, 191, 323, 154
337, 34, 123, 85
91, 106, 74, 206
64, 345, 51, 112
77, 292, 83, 248
299, 55, 300, 76
289, 101, 297, 364
231, 90, 152, 358
7, 262, 100, 37
30, 199, 294, 227
276, 229, 138, 4
266, 202, 324, 224
225, 219, 216, 70
80, 246, 17, 23
210, 103, 15, 260
105, 361, 239, 36
14, 372, 279, 40
170, 159, 102, 72
331, 198, 178, 250
49, 81, 315, 365
321, 360, 163, 238
270, 287, 133, 97
54, 132, 309, 168
114, 156, 251, 313
172, 45, 247, 215
144, 75, 92, 335
27, 286, 69, 183
