27068

46, 212, 235, 186, 137, 78, 157, 181, 179, 82, 59, 189, 150, 50, 122, 14, 183, 192
39, 56, 194, 163, 4, 63, 176, 187, 226, 75, 17, 141, 209, 199, 71, 77, 97, 175
21, 164, 195, 27, 234, 204, 124, 96, 34, 202, 128, 88, 52, 149, 68, 145, 2, 130
7, 73, 95, 58, 112, 121, 221, 53, 45, 182, 206, 111, 31, 158, 86, 115, 93, 173
38, 9, 132, 47, 108, 100, 85, 25, 118, 215, 146, 48, 51, 196, 8, 65, 43, 177
169, 81, 110, 136, 92, 15, 142, 64, 98, 16, 216, 36, 76, 147, 159, 20, 120, 29
129, 135, 87, 114, 162, 201, 205, 166, 217, 223, 33, 155, 218, 138, 22, 152, 214, 35
62, 70, 222, 49, 113, 101, 79, 233, 174, 94, 37, 117, 188, 41, 191, 172, 80, 180
211, 125, 156, 134, 32, 139, 208, 127, 12, 193, 60, 99, 154, 42, 55, 19, 18, 200
224, 184, 148, 1, 203, 167, 83, 105, 143, 232, 178, 153, 116, 160, 11, 131, 74, 106
10, 13, 102, 40, 133, 207, 220, 126, 90, 30, 24, 151, 72, 44, 225, 67, 219, 66
185, 165, 91, 170, 6, 171, 144, 190, 103, 123, 140, 119, 197, 69, 54, 236, 23, 230
28, 109
229, 84, 26, 228, 210, 213, 61, 5, 57, 161, 3, 198, 104, 227, 107, 231, 89, 168
