118409

126, 145, 186
104, 174, 118
177, 117, 77
189, 139, 125
203, 8, 215
43, 154, 169
168, 59, 198
133, 161, 2
218, 56, 18
185, 166
172, 165, 37
171, 58, 156
116, 76, 88
147, 85, 162
12, 70, 137
216, 151, 54
149, 27, 122
101, 163, 142
95, 52, 61
31, 153, 217
105, 68, 94
213, 19, 187
113, 204, 81
178, 181, 155
207, 201, 210
20, 41, 57
11, 182, 199
134, 89, 211
158, 129, 45
53, 102, 25
100, 28, 195
60, 197, 86
106, 35, 67
44, 42, 63
131, 138, 183
190, 71, 83
150, 159, 175
73, 184, 17
6, 206, 140
152, 96, 128
49, 24, 55
192, 107, 110
141, 98, 82
108, 62, 132
64, 127, 115
200, 33, 29
97, 1, 208
179, 170, 26
34, 130, 92
212, 148, 144
193, 124, 157
40, 15, 22
21, 119, 111
93, 112, 3
91, 7, 48
191, 4, 180
78, 99, 13
69, 136, 38
214, 79, 202
167, 114, 16
160, 84, 109
188, 32, 39
103, 143, 50
30, 173, 146
65, 72, 209
36, 74, 205
80, 14, 23
121, 135, 90
47, 194, 123
87, 164, 51
196, 10, 120
46, 66, 75
176, 5, 9
