117595

70, 20, 41
37, 175, 159
187, 42, 63
19, 213, 184
208, 1, 97
13, 218, 56
212, 69, 136
84, 160, 66
153, 165, 172
146, 173, 30
168, 92, 59
109, 107, 110
27, 122, 26
34, 133, 130
125, 181, 155
23, 29, 33
157, 124, 193
94, 186, 145
60, 140, 35
4, 191, 180
215, 8, 119
183, 138, 131
178, 190, 71
170, 123, 47
164, 115, 87
161, 169, 43
151, 54, 55
134, 89, 211
38, 40, 150
21, 44, 203
117, 49, 24
141, 98, 82
139, 179, 189
207, 201, 210
106, 197, 86
53, 96, 128
57, 102, 25
51, 64, 127
88, 116, 83
81, 204, 113
74, 137, 12
22, 15, 209
171, 58, 156
205, 36, 76
2, 65, 72
177, 77, 149
143, 68, 105
39, 32, 188
80, 14, 11
28, 100, 126
182, 199, 195
152, 31, 217
50, 103, 216
67, 206, 6
154, 118, 104
114, 46, 75
112, 3, 93
132, 62, 108
9, 5, 176
16, 167, 192
101, 163, 142
214, 79, 202
48, 7, 91
129, 158, 198
61, 52, 95
18, 78, 99
166, 185
196, 120, 194
162, 85, 147
121, 135, 90
174, 73, 17
144, 200, 148
10, 45, 111
