118409

212, 148, 144
48, 7, 91
196, 10, 120
215, 8, 203
38, 136, 69
115, 127, 64
155, 181, 178
82, 98, 141
106, 35, 67
17, 184, 73
180, 4, 191
118, 174, 104
217, 153, 31
47, 194, 123
190, 71, 83
13, 99, 78
211, 89, 134
37, 165, 172
167, 114, 16
57, 41, 20
216, 151, 54
152, 96, 128
92, 130, 34
122, 27, 149
189, 139, 125
160, 84, 109
146, 173, 30
200, 33, 29
26, 170, 179
108, 62, 132
93, 112, 3
86, 197, 60
87, 164, 51
218, 56, 18
111, 119, 21
176, 5, 9
213, 19, 187
90, 135, 121
36, 74, 205
46, 66, 75
195, 28, 100
168, 59, 198
11, 182, 199
208, 1, 97
25, 102, 53
105, 68, 94
157, 124, 193
12, 70, 137
110, 107, 192
183, 138, 131
188, 32, 39
77, 117, 177
171, 58, 156
49, 24, 55
207, 201, 210
40, 15, 22
43, 154, 169
44, 42, 63
142, 163, 101
80, 14, 23
133, 161, 2
185, 166
140, 206, 6
50, 143, 103
95, 52, 61
150, 159, 175
214, 79, 202
158, 129, 45
113, 204, 81
88, 76, 116
209, 72, 65
186, 145, 126
147, 85, 162
