118406

192, 107, 110
2, 161, 133
92, 130, 34
50, 143, 103
17, 184, 73
216, 151, 54
3, 112, 93
202, 79, 214
210, 201, 207
193, 124, 157
13, 99, 78
94, 68, 105
147, 85, 162
211, 89, 134
208, 1, 97
116, 76, 88
65, 72, 209
212, 148, 144
81, 204, 113
166, 185
189, 139, 125
188, 32, 39
200, 33, 23
142, 163, 101
195, 28, 100
64, 127, 115
26, 170, 179
40, 15, 22
18, 56, 218
108, 62, 132
196, 10, 120
172, 165, 37
186, 145, 126
169, 154, 43
6, 206, 140
60, 197, 86
36, 74, 205
187, 19, 213
53, 102, 25
61, 52, 95
29, 11, 14
158, 129, 45
123, 194, 47
203, 8, 215
48, 7, 91
9, 5, 176
128, 96, 152
137, 70, 12
77, 117, 177
63, 42, 44
21, 119, 111
31, 153, 217
118, 174, 104
150, 159, 175
146, 173, 30
87, 164, 51
20, 41, 57
38, 136, 69
198, 59, 168
131, 138, 183
80, 182, 199
121, 135, 90
149, 27, 122
106, 35, 67
156, 58, 171
155, 181, 178
141, 98, 82
83, 71, 190
180, 4, 191
49, 24, 55
167, 114, 16
160, 84, 109
75, 66, 46
