118406

200, 33, 23
215, 8, 203
109, 84, 160
29, 11, 14
36, 74, 205
208, 1, 97
16, 114, 167
83, 71, 190
46, 66, 75
186, 145, 126
26, 170, 179
67, 35, 106
18, 56, 218
140, 206, 6
25, 102, 53
61, 52, 95
144, 148, 212
175, 159, 150
211, 89, 134
125, 139, 189
157, 124, 193
178, 181, 155
171, 58, 156
168, 59, 198
195, 28, 100
80, 182, 199
110, 107, 192
111, 119, 21
169, 154, 43
31, 153, 217
91, 7, 48
105, 68, 94
104, 174, 118
49, 24, 55
166, 185
131, 138, 183
93, 112, 3
123, 194, 47
213, 19, 187
60, 197, 86
45, 129, 158
142, 163, 101
81, 204, 113
121, 135, 90
20, 41, 57
63, 42, 44
34, 130, 92
147, 85, 162
207, 201, 210
38, 136, 69
137, 70, 12
177, 117, 77
108, 62, 132
214, 79, 202
133, 161, 2
116, 76, 88
180, 4, 191
78, 99, 13
115, 127, 64
9, 5, 176
54, 151, 216
152, 96, 128
39, 32, 188
149, 27, 122
146, 173, 30
87, 164, 51
50, 143, 103
209, 72, 65
82, 98, 141
196, 10, 120
73, 184, 17
22, 15, 40
37, 165, 172
