118406

202, 79, 214
185, 166
92, 130, 34
91, 7, 48
39, 32, 188
167, 114, 16
31, 153, 217
81, 204, 113
211, 89, 134
175, 159, 150
13, 99, 78
57, 41, 20
126, 145, 186
101, 163, 142
2, 161, 133
146, 173, 30
215, 8, 203
82, 98, 141
51, 164, 87
67, 35, 106
36, 74, 205
171, 58, 156
90, 135, 121
191, 4, 180
21, 119, 111
195, 28, 100
207, 201, 210
38, 136, 69
40, 15, 22
132, 62, 108
128, 96, 152
64, 127, 115
155, 181, 178
29, 11, 14
60, 197, 86
83, 71, 190
196, 10, 120
192, 107, 110
193, 124, 157
216, 151, 54
208, 1, 97
144, 148, 212
103, 143, 50
169, 154, 43
23, 33, 200
45, 129, 158
172, 165, 37
140, 206, 6
122, 27, 149
49, 24, 55
95, 52, 61
218, 56, 18
160, 84, 109
183, 138, 131
46, 66, 75
12, 70, 137
177, 117, 77
53, 102, 25
123, 194, 47
65, 72, 209
63, 42, 44
26, 170, 179
93, 112, 3
125, 139, 189
168, 59, 198
116, 76, 88
9, 5, 176
17, 184, 73
162, 85, 147
187, 19, 213
80, 182, 199
118, 174, 104
94, 68, 105
