16883

15, 147, 118, 20, 68, 36, 103, 93, 99, 69, 122, 38
41, 110, 54, 121, 21, 135, 73, 106, 3, 42, 32, 143
75, 16, 65, 87, 97, 62, 142, 128, 26, 120, 14, 49
131, 133, 50, 154, 98, 123, 53, 144, 85, 140, 31, 23
148, 13, 63, 64, 141, 43, 24, 156, 150, 8, 149, 71
151, 113, 82, 11, 77, 45, 83, 90, 51, 100, 91, 129
37, 116, 19, 46, 145, 127, 104, 130, 124, 44, 27, 101
88, 47, 57, 5, 153, 76, 136, 112, 89, 81, 119, 2
70, 139, 125, 78, 146, 80, 40, 108, 9, 117, 1, 126
17, 67, 4, 35, 6, 115, 55, 95, 105, 152, 56, 61
12, 60, 109, 114, 29, 58, 39, 10, 134, 52, 107, 18
34, 79, 74, 138, 25, 155, 22, 30, 84, 33, 48, 72
92, 137, 7, 28, 66, 94, 86, 132, 111, 102, 96, 59
