16877

71, 149, 8, 150, 156, 24, 43, 141, 64, 63, 13, 148
88, 47, 57, 5, 153, 76, 136, 112, 89, 81, 119, 2
151, 113, 82, 11, 77, 45, 83, 90, 51, 100, 91, 129
34, 138, 25, 155, 22, 30, 74, 79, 84, 33, 48, 72
92, 137, 7, 28, 66, 94, 86, 132, 111, 102, 96, 59
23, 31, 140, 85, 144, 53, 123, 98, 154, 50, 133, 131
143, 32, 42, 3, 106, 73, 135, 21, 121, 54, 110, 41
126, 1, 117, 9, 108, 40, 80, 146, 78, 125, 139, 70
15, 147, 118, 20, 68, 36, 103, 93, 99, 69, 122, 38
101, 27, 44, 124, 130, 104, 127, 145, 46, 19, 116, 37
61, 56, 152, 105, 95, 55, 115, 6, 35, 4, 67, 17
49, 14, 120, 26, 128, 142, 62, 97, 87, 65, 16, 75
18, 107, 52, 134, 10, 39, 58, 29, 114, 109, 60, 12
