78357

169, 168, 31, 87
78, 85, 42, 155, 15, 314
234, 239, 56, 59, 266, 48
231, 242, 249, 158, 297, 57
90, 84, 280, 95, 271, 20
194, 259, 268, 200, 253, 63
146, 136, 186, 291, 72, 148
73, 39, 258, 245, 305, 252
185, 216, 101, 166, 230, 250
171, 213, 82, 247, 147, 47
159, 29, 176, 179, 79, 236
129, 274, 6, 255, 288, 277
97, 66, 304, 86, 190, 107
235, 123, 149, 182, 302, 143
202, 312, 181, 265, 2, 127
13, 207, 138, 196, 26, 167
75, 282, 144, 23, 306, 9
232, 68, 261, 222, 111, 248
203, 189, 310, 77, 113, 139
285, 160, 62, 218, 70, 299
188, 88, 227, 104, 142, 209
223, 193, 178, 49, 243, 246
64, 184, 69, 35, 114, 106
238, 153, 224, 89, 205, 117
54, 122, 295, 34, 126, 16
187, 281, 132, 4, 286, 275
287, 124, 263, 46, 294, 36
284, 251, 65, 225, 208, 96
103, 128, 279, 119, 308, 175
154, 220, 12, 157, 273, 192
17, 8, 229, 83, 161, 211
140, 163, 91, 28, 172, 191
290, 221, 5, 109, 53, 201
141, 315, 307, 45, 206, 165
133, 81, 134, 112, 298, 44
55, 152, 99, 50, 228, 120
38, 292, 301, 11, 244, 145
32, 183, 278, 226, 296, 180
197, 80, 309, 256, 51, 76
21, 162, 311, 71, 198, 14
52, 67, 293, 27, 37, 204
269, 22, 254, 283, 25, 170
40, 257, 260, 316, 130, 125
115, 174, 100, 121, 116, 267
270, 177, 137, 214, 58, 195
41, 3, 276, 24, 118, 303
93, 102, 164, 262, 61, 105
108, 289, 92, 151, 264, 94
240, 60, 215, 237, 30, 199
10, 212, 210, 156, 272, 33
150, 1, 131, 219, 173, 98
18, 241, 135, 110, 74, 300
19, 7, 43, 233, 217, 313
