78355

314, 15, 155, 42, 85, 78
64, 184, 69, 35, 114, 106
18, 241, 135, 110, 74, 300
159, 29, 176, 179, 79, 236
54, 122, 295, 34, 126, 16
14, 198, 71, 311, 162, 21
169, 168, 31, 87
55, 152, 50, 99, 228, 120
234, 239, 56, 59, 266, 48
270, 177, 137, 214, 58, 195
32, 183, 278, 226, 296, 180
211, 161, 83, 229, 8, 17
250, 230, 166, 101, 216, 185
175, 308, 119, 279, 128, 213
10, 212, 210, 156, 272, 33
188, 88, 227, 104, 142, 209
148, 72, 291, 186, 136, 146
171, 103, 82, 247, 147, 47
197, 80, 309, 256, 51, 76
287, 124, 263, 46, 294, 36
290, 221, 5, 109, 53, 201
202, 312, 181, 265, 2, 127
38, 292, 301, 11, 244, 145
20, 271, 95, 280, 84, 90
275, 286, 4, 132, 281, 187
9, 306, 23, 144, 282, 75
284, 251, 65, 225, 208, 96
199, 30, 237, 215, 60, 240
117, 205, 89, 224, 153, 238
57, 297, 158, 249, 242, 231
13, 207, 138, 196, 26, 167
141, 315, 307, 45, 206, 165
232, 68, 261, 222, 111, 248
150, 1, 131, 219, 173, 98
170, 25, 283, 254, 22, 269
93, 102, 164, 262, 61, 105
252, 305, 245, 258, 39, 73
52, 67, 293, 27, 37, 204
143, 302, 182, 149, 123, 235
129, 274, 6, 255, 288, 277
41, 3, 276, 24, 118, 303
310, 189, 77, 113, 139, 203
133, 81, 134, 112, 298, 44
267, 116, 121, 100, 174, 115
299, 70, 218, 62, 160, 285
154, 220, 12, 157, 273, 192
125, 130, 316, 260, 257, 40
191, 172, 28, 91, 163, 140
108, 289, 92, 151, 264, 94
19, 7, 43, 233, 217, 313
194, 259, 268, 200, 253, 63
246, 243, 49, 178, 193, 223
97, 66, 304, 86, 190, 107
