78356

240, 60, 215, 237, 30, 199
73, 39, 258, 245, 305, 252
107, 190, 86, 304, 66, 97
103, 128, 279, 119, 308, 175
9, 306, 23, 144, 282, 75
35, 106, 114, 69, 184, 64
167, 26, 196, 138, 207, 13
236, 79, 179, 176, 29, 159
145, 244, 11, 301, 292, 38
33, 272, 156, 210, 212, 10
52, 67, 293, 27, 37, 204
17, 8, 229, 83, 161, 211
203, 139, 113, 77, 189, 310
117, 205, 89, 224, 153, 238
148, 72, 291, 186, 136, 146
76, 51, 256, 309, 80, 197
98, 173, 219, 131, 1, 150
277, 288, 255, 6, 274, 129
63, 253, 200, 268, 259, 194
191, 172, 28, 91, 163, 140
187, 281, 132, 4, 286, 275
209, 142, 104, 227, 88, 188
57, 297, 158, 249, 242, 231
195, 58, 214, 137, 177, 270
18, 241, 135, 110, 74, 300
285, 160, 62, 218, 70, 299
141, 315, 307, 45, 206, 165
105, 61, 262, 164, 102, 93
125, 130, 316, 260, 257, 40
32, 183, 278, 226, 296, 180
223, 193, 178, 49, 243, 246
232, 68, 261, 222, 111, 248
303, 118, 24, 276, 3, 41
48, 266, 59, 56, 239, 234
314, 15, 155, 42, 85, 78
284, 251, 65, 225, 208, 96
44, 298, 112, 134, 81, 133
170, 25, 283, 254, 22, 269
185, 216, 101, 166, 230, 250
21, 162, 311, 71, 198, 14
143, 302, 182, 149, 123, 235
115, 174, 100, 121, 116, 267
120, 228, 99, 50, 152, 55
90, 84, 280, 95, 271, 20
54, 122, 295, 34, 126, 16
290, 221, 5, 109, 53, 201
171, 213, 82, 247, 147, 47
127, 2, 265, 181, 312, 202
169, 168, 31, 87
108, 289, 92, 151, 264, 94
313, 217, 233, 43, 7, 19
154, 220, 12, 157, 273, 192
287, 124, 263, 46, 294, 36
