78362

76, 51, 256, 309, 80, 197
277, 288, 255, 6, 274, 129
153, 84, 224, 89, 205, 117
87, 31, 168, 169
33, 272, 156, 210, 212, 10
57, 297, 158, 249, 242, 231
40, 257, 260, 316, 130, 125
148, 72, 291, 186, 136, 146
180, 296, 226, 278, 183, 32
96, 208, 225, 65, 251, 284
240, 60, 215, 237, 30, 199
310, 189, 77, 113, 139, 203
285, 160, 62, 218, 70, 299
192, 273, 157, 12, 220, 154
267, 116, 121, 100, 174, 115
133, 81, 134, 112, 298, 44
64, 184, 69, 35, 114, 106
223, 193, 178, 49, 243, 246
234, 239, 56, 59, 266, 48
150, 1, 131, 219, 173, 98
171, 103, 82, 247, 147, 47
63, 253, 200, 268, 259, 194
252, 305, 245, 258, 39, 73
9, 306, 23, 144, 282, 75
238, 300, 74, 90, 110, 18
140, 163, 91, 28, 172, 191
54, 122, 295, 34, 126, 16
195, 214, 58, 137, 177, 270
108, 289, 92, 151, 264, 94
145, 244, 11, 301, 292, 38
235, 123, 149, 182, 302, 143
20, 271, 95, 280, 135, 241
127, 2, 265, 181, 312, 202
14, 198, 71, 311, 162, 21
236, 79, 179, 176, 29, 159
187, 281, 132, 4, 286, 275
170, 25, 283, 254, 22, 269
17, 8, 229, 83, 161, 211
287, 124, 263, 46, 294, 36
209, 142, 104, 227, 88, 188
248, 111, 222, 261, 68, 232
19, 7, 43, 233, 217, 313
93, 102, 164, 262, 61, 105
52, 67, 293, 27, 37, 204
97, 66, 304, 86, 190, 107
201, 53, 109, 5, 221, 290
250, 230, 166, 101, 216, 185
165, 206, 45, 307, 315, 141
120, 228, 50, 99, 152, 55
213, 128, 279, 119, 308, 175
78, 85, 42, 155, 15, 314
13, 207, 138, 196, 26, 167
303, 118, 24, 276, 3, 41
