78355

105, 61, 262, 164, 102, 93
199, 30, 237, 215, 60, 240
191, 172, 28, 91, 163, 140
248, 111, 222, 261, 68, 232
55, 152, 99, 50, 228, 120
87, 31, 168, 169
165, 206, 45, 307, 315, 141
107, 190, 86, 304, 66, 97
64, 184, 69, 35, 114, 106
303, 118, 24, 276, 3, 41
98, 173, 219, 131, 1, 150
290, 221, 5, 109, 53, 201
20, 271, 95, 280, 84, 90
94, 264, 151, 92, 289, 108
192, 273, 157, 12, 220, 154
188, 88, 227, 104, 142, 209
277, 288, 255, 6, 274, 129
47, 147, 247, 82, 213, 171
16, 126, 34, 295, 122, 54
167, 26, 196, 138, 207, 13
235, 123, 149, 182, 302, 143
38, 292, 301, 11, 244, 145
117, 205, 89, 224, 153, 238
52, 67, 293, 27, 37, 204
275, 286, 4, 132, 281, 187
284, 251, 65, 225, 208, 96
57, 297, 158, 249, 242, 231
146, 136, 186, 291, 72, 148
78, 85, 42, 155, 15, 314
36, 294, 46, 263, 124, 287
75, 282, 144, 23, 306, 9
76, 51, 256, 309, 80, 197
250, 230, 166, 101, 216, 185
125, 130, 316, 260, 257, 40
17, 8, 229, 83, 161, 211
310, 189, 77, 113, 139, 203
195, 58, 214, 137, 177, 270
14, 198, 71, 311, 162, 21
267, 116, 121, 100, 174, 115
180, 296, 226, 278, 183, 32
73, 39, 258, 245, 305, 252
313, 217, 233, 43, 7, 19
223, 193, 178, 49, 243, 246
10, 212, 210, 156, 33, 272
18, 241, 135, 110, 74, 300
236, 79, 179, 176, 29, 159
269, 22, 254, 283, 25, 170
48, 266, 59, 56, 239, 234
175, 308, 119, 279, 128, 103
127, 2, 265, 181, 312, 202
194, 259, 268, 200, 253, 63
299, 70, 218, 62, 160, 285
133, 81, 134, 112, 298, 44
