190918

415, 533, 341
565, 49, 323, 215
387, 432, 469
456, 281, 425, 409
495, 385, 426, 527
152, 164, 268, 171
246, 355, 182, 331
490, 477, 486, 473
29, 383, 145, 376
297, 99, 556, 396
535, 60, 379, 540
346, 402, 513, 314
175, 454, 407, 242
395, 139, 445, 34
537, 305, 263, 337
220, 515, 358, 222
204, 73, 136, 11
264, 169, 46
94, 413, 394
102, 292, 546
162, 229, 141, 363
560, 196, 410
240, 300, 381
185, 144, 418, 308
15, 449, 166, 267
500, 315, 488
207, 581, 436
43, 41, 62, 538
127, 95, 151, 30
335, 485, 421
143, 147, 199, 245
362, 570, 440, 470
435, 81, 97, 148
498, 420, 241, 310
298, 291, 118, 247
137, 130, 433
59, 551, 452
218, 208, 56
392, 253, 8
28, 10, 72
514, 237, 543
154, 98, 12, 206
286, 211, 243, 64
317, 442, 474, 547
441, 108, 400, 266
437, 369, 446
472, 467, 401
536, 340, 509, 450
386, 448, 338, 347
461, 354, 523
304, 554, 569, 203
61, 131, 367, 187
53, 318, 150
101, 36, 174, 158
70, 115, 257, 333
104, 67, 93, 398
365, 3, 481, 390
464, 528, 404
186, 173, 103, 117
429, 353, 411
584, 497, 511, 142
80, 343, 360
270, 562, 371, 529
501, 366, 561, 89
251, 13, 79, 519
299, 92, 236, 374
261, 272, 113, 45
31, 408, 275
480, 342, 484, 324
530, 356, 399
443, 111, 2, 82
585, 439, 517, 349
192, 427, 156, 86
105, 428, 256, 66
177, 87, 255
482, 489, 479, 302
294, 391, 576, 512
107, 280, 178, 188
21, 39, 37, 68
507, 334, 526, 307
74, 496, 508
552, 499, 518, 559
109, 191, 524, 223
279, 153, 276, 283
83, 112, 159, 65
351, 582, 48, 434
273, 210, 133, 200
248, 88, 6, 90
520, 572, 328, 471
212, 183, 16
57, 287, 170
249, 231, 106
525, 258, 422
564, 505, 306
568, 375, 550, 431
412, 370, 575, 462
217, 230, 269
344, 531, 563, 295
25, 122, 119, 193
140, 503, 557
555, 403, 184, 312, 165
311, 430, 277, 189, 180
583, 51, 384
250, 284, 52
14, 149, 135
416, 567, 357, 293
578, 516, 322, 18
493, 27, 350
125, 451, 558, 372
492, 321, 417, 336
290, 76, 176, 438
4, 573, 377, 478
50, 163, 114, 126
197, 168, 42, 157
55, 35, 75, 285
522, 239, 566
364, 506, 213, 380
504, 373, 54
453, 574, 541, 424
209, 77, 17, 226
393, 194, 494, 198
327, 205, 348, 397
460, 78, 579, 134
330, 172, 179
282, 32, 252, 22
128, 132, 129
271, 26, 121
47, 216, 24, 69
463, 359, 571, 545
361, 85, 544
303, 521, 476, 368
447, 457, 190
502, 455, 316
265, 40, 19
301, 475, 580
549, 262, 202, 20
510, 548, 339, 483
33, 244, 160, 254
325, 382, 542, 332
274, 38, 313, 123
288, 227, 233
238, 289, 7, 214
138, 124, 228, 225
405, 63, 260, 96
278, 146, 84, 161
9, 235, 195
259, 167, 91, 58
309, 296, 553, 534
466, 352, 378, 539
389, 491, 5, 201
155, 71, 1
458, 232, 181
44, 110, 219, 234
419, 329, 23, 224
406, 423, 320, 388
468, 116, 326, 345
444, 577, 100, 221
459, 532, 319, 465
414, 120, 487
