190918

269, 230, 217
11, 136, 73, 204
388, 320, 423, 406
201, 5, 491, 389
543, 237, 514
175, 454, 407, 242
460, 78, 579, 134
336, 417, 321, 492
22, 252, 32, 282
179, 172, 330
106, 231, 249
495, 385, 426, 527
181, 232, 458
365, 3, 481, 390
519, 79, 13, 251
274, 38, 313, 123
307, 526, 334, 507
264, 169, 46
441, 108, 400, 266
410, 196, 560
395, 139, 445, 34
487, 120, 414
345, 326, 116, 468
254, 160, 244, 33
316, 455, 502
297, 99, 556, 396
473, 486, 477, 490
399, 356, 530
72, 10, 28
142, 511, 497, 584
324, 484, 342, 480
304, 554, 569, 203
9, 235, 195
429, 353, 411
510, 548, 339, 483
583, 51, 384
416, 567, 357, 293
580, 475, 301
565, 49, 323, 215
200, 133, 210, 273
94, 413, 394
86, 156, 427, 192
157, 42, 168, 197
126, 114, 163, 50
261, 272, 113, 45
424, 541, 574, 453
245, 199, 147, 143
298, 291, 118, 247
137, 130, 433
544, 85, 361
105, 428, 256, 66
104, 67, 93, 398
209, 77, 17, 226
128, 132, 129
69, 24, 216, 47
493, 27, 350
155, 71, 1
520, 572, 328, 471
220, 515, 358, 222
248, 88, 6, 90
233, 227, 288
127, 95, 151, 30
138, 124, 228, 225
372, 558, 451, 125
465, 319, 532, 459
259, 167, 91, 58
83, 112, 159, 65
522, 239, 566
214, 7, 289, 238
55, 35, 75, 285
14, 149, 135
360, 343, 80
331, 182, 355, 246
186, 173, 103, 117
278, 146, 84, 161
170, 287, 57
180, 189, 277, 430, 311
364, 506, 213, 380
16, 183, 212
121, 26, 271
44, 110, 219, 234
310, 241, 420, 498
64, 243, 211, 286
422, 258, 525
555, 403, 184, 312, 165
501, 366, 561, 89
255, 87, 177
347, 338, 448, 386
207, 581, 436
538, 62, 41, 43
295, 563, 531, 344
362, 570, 440, 470
193, 119, 122, 25
70, 115, 257, 333
308, 418, 144, 185
82, 2, 111, 443
54, 373, 504
53, 318, 150
404, 528, 464
187, 367, 131, 61
275, 408, 31
387, 432, 469
534, 553, 296, 309
368, 476, 521, 303
564, 505, 306
381, 300, 240
346, 402, 513, 314
552, 499, 518, 559
478, 377, 573, 4
374, 236, 92, 299
148, 97, 81, 435
325, 382, 542, 332
461, 354, 523
171, 268, 164, 152
540, 379, 60, 535
437, 369, 446
317, 442, 474, 547
557, 503, 140
393, 194, 494, 198
447, 457, 190
52, 284, 250
107, 280, 178, 188
419, 329, 23, 224
452, 551, 59
302, 479, 489, 482
409, 425, 281, 456
462, 575, 370, 412
218, 208, 56
500, 315, 488
363, 141, 229, 162
578, 516, 322, 18
536, 340, 509, 450
585, 439, 517, 349
337, 263, 305, 537
434, 48, 582, 351
74, 496, 508
401, 467, 472
109, 191, 524, 223
546, 292, 102
341, 533, 415
96, 260, 63, 405
158, 174, 36, 101
421, 485, 335
8, 253, 392
154, 98, 12, 206
568, 375, 550, 431
19, 40, 265
549, 262, 202, 20
290, 76, 176, 438
529, 371, 562, 270
21, 39, 37, 68
466, 352, 378, 539
463, 359, 571, 545
444, 577, 100, 221
279, 153, 276, 283
397, 348, 205, 327
294, 391, 576, 512
29, 383, 145, 376
267, 166, 449, 15
