190918

128, 132, 129
261, 272, 113, 45
86, 156, 427, 192
311, 430, 277, 189, 180
212, 183, 16
80, 343, 360
568, 375, 550, 431
519, 79, 13, 251
469, 432, 387
395, 139, 445, 34
330, 172, 179
137, 130, 433
109, 191, 524, 223
502, 455, 316
294, 391, 576, 512
306, 505, 564
473, 486, 477, 490
221, 100, 577, 444
125, 451, 558, 372
498, 420, 241, 310
226, 17, 77, 209
540, 379, 60, 535
224, 23, 329, 419
308, 418, 144, 185
295, 563, 531, 344
83, 112, 159, 65
127, 95, 151, 30
121, 26, 271
421, 485, 335
324, 484, 342, 480
25, 122, 119, 193
288, 227, 233
547, 474, 442, 317
222, 358, 515, 220
435, 81, 97, 148
245, 199, 147, 143
225, 228, 124, 138
530, 356, 399
314, 513, 402, 346
443, 111, 2, 82
215, 323, 49, 565
436, 581, 207
341, 533, 415
552, 499, 518, 559
56, 208, 218
374, 236, 92, 299
283, 276, 153, 279
9, 235, 195
453, 574, 541, 424
578, 516, 322, 18
386, 448, 338, 347
523, 354, 461
68, 37, 39, 21
466, 352, 378, 539
134, 579, 78, 460
59, 551, 452
89, 561, 366, 501
275, 408, 31
450, 509, 340, 536
331, 182, 355, 246
410, 196, 560
102, 292, 546
20, 202, 262, 549
472, 467, 401
234, 219, 110, 44
187, 367, 131, 61
464, 528, 404
142, 511, 497, 584
140, 503, 557
285, 75, 35, 55
201, 5, 491, 389
171, 268, 164, 152
206, 12, 98, 154
204, 73, 136, 11
409, 425, 281, 456
28, 10, 72
250, 284, 52
380, 213, 506, 364
242, 407, 454, 175
525, 258, 422
478, 377, 573, 4
301, 475, 580
64, 243, 211, 286
155, 71, 1
50, 163, 114, 126
186, 173, 103, 117
240, 300, 381
255, 87, 177
29, 383, 145, 376
248, 88, 6, 90
158, 174, 36, 101
70, 115, 257, 333
500, 315, 488
463, 359, 571, 545
345, 326, 116, 468
107, 280, 178, 188
54, 373, 504
197, 168, 42, 157
555, 403, 184, 312, 165
69, 24, 216, 47
441, 108, 400, 266
566, 239, 522
393, 194, 494, 198
388, 320, 423, 406
297, 99, 556, 396
336, 417, 321, 492
437, 369, 446
390, 481, 3, 365
298, 291, 118, 247
363, 141, 229, 162
181, 232, 458
416, 567, 357, 293
465, 319, 532, 459
508, 496, 74
53, 318, 150
411, 353, 429
325, 382, 542, 332
543, 237, 514
22, 252, 32, 282
123, 313, 38, 274
414, 120, 487
170, 287, 57
254, 160, 244, 33
66, 256, 428, 105
350, 27, 493
190, 457, 447
161, 84, 146, 278
270, 562, 371, 529
482, 489, 479, 302
405, 63, 260, 96
238, 289, 7, 214
471, 328, 572, 520
327, 205, 348, 397
544, 85, 361
135, 149, 14
259, 167, 91, 58
19, 40, 265
307, 526, 334, 507
583, 51, 384
538, 62, 41, 43
304, 554, 569, 203
462, 575, 370, 412
94, 413, 394
15, 449, 166, 267
217, 230, 269
46, 169, 264
290, 76, 176, 438
249, 231, 106
8, 253, 392
534, 553, 296, 309
510, 548, 339, 483
337, 263, 305, 537
495, 385, 426, 527
434, 48, 582, 351
585, 439, 517, 349
470, 440, 570, 362
303, 521, 476, 368
104, 67, 93, 398
273, 210, 133, 200
