190773

564, 505, 306
212, 183, 16
347, 338, 448, 386
155, 71, 1
195, 235, 9
15, 449, 166, 267
297, 99, 556, 396
234, 219, 110, 44
14, 149, 135
416, 567, 357, 293
152, 164, 268, 171
346, 402, 513, 314
96, 260, 63, 405
50, 163, 114, 126
565, 49, 323, 215
529, 371, 562, 270
472, 467, 401
188, 178, 107, 280
462, 575, 370, 412
535, 60, 379, 540
543, 237, 514
94, 403, 184, 359
238, 289, 7, 214
193, 119, 122, 25
435, 81, 97, 148
43, 41, 62, 538
157, 42, 168, 197
585, 349, 517, 439
283, 276, 153, 279
460, 78, 579, 134
508, 74, 496
525, 258, 422
344, 531, 563, 295
56, 208, 218
421, 485, 335
222, 358, 515, 220
545, 165, 312, 394
341, 533, 415
500, 315, 488
301, 475, 580
266, 400, 108, 441
285, 75, 35, 55
549, 262, 202, 20
384, 51, 583
250, 284, 52
482, 489, 479, 302
523, 354, 461
419, 329, 224, 23
502, 455, 316
70, 189, 177, 180
436, 581, 207
34, 445, 139, 395
201, 5, 491, 389
404, 528, 464
480, 342, 484, 324
109, 191, 524, 223
392, 253, 8
72, 10, 28
299, 425, 409, 333
137, 130, 433
437, 369, 446
490, 477, 486, 473
294, 391, 576, 512
158, 174, 36, 101
413, 555, 571, 463
534, 553, 296, 309
317, 442, 474, 547
93, 67, 104, 398
106, 231, 249
261, 272, 113, 45
161, 84, 146, 278
21, 39, 37, 68
185, 144, 418, 308
259, 167, 91, 58
568, 375, 550, 431
307, 334, 526, 507
57, 287, 170
200, 133, 210, 273
105, 428, 256, 66
361, 85, 544
61, 131, 367, 187
424, 541, 574, 453
520, 572, 328, 471
11, 136, 73, 204
138, 124, 228, 225
364, 506, 213, 380
53, 150, 318
438, 176, 76, 290
303, 521, 476, 368
247, 118, 291, 298
330, 172, 179
374, 236, 92, 311
54, 373, 504
264, 169, 46
254, 160, 244, 33
458, 232, 181
69, 24, 216, 47
240, 300, 381
325, 382, 542, 332
487, 120, 414
469, 432, 387
331, 182, 355, 246
275, 408, 31
277, 257, 115, 87
459, 319, 465, 532
466, 378, 352, 539
393, 194, 494, 198
365, 3, 481, 390
434, 48, 582, 351
245, 199, 147, 143
186, 173, 103, 117
65, 159, 112, 83
337, 263, 305, 537
429, 353, 411
30, 151, 95, 127
527, 426, 385, 495
584, 497, 511, 142
397, 348, 205, 327
248, 88, 6, 90
336, 417, 321, 492
443, 111, 2, 82
140, 503, 557
478, 377, 573, 4
271, 26, 121
206, 12, 98, 154
125, 451, 558, 372
190, 457, 447
123, 313, 38, 274
536, 340, 509, 450
89, 561, 366, 501
242, 407, 454, 175
546, 292, 102
519, 79, 13, 251
552, 499, 518, 559
233, 227, 288
80, 360, 343
493, 27, 350
310, 241, 420, 498
86, 156, 427, 192
456, 281, 255, 430
304, 554, 569, 203
265, 40, 19
560, 196, 410
578, 516, 322, 18
29, 383, 145, 376
356, 399, 530
269, 230, 217
226, 17, 77, 209
162, 229, 141, 363
286, 211, 243, 64
444, 577, 100, 221
468, 116, 326, 345
406, 423, 320, 388
470, 440, 570, 362
129, 132, 128
510, 548, 339, 483
452, 551, 59
522, 239, 566
22, 252, 32, 282
