190918

414, 120, 487
304, 554, 569, 203
74, 496, 508
584, 497, 511, 142
238, 289, 7, 214
502, 455, 316
534, 553, 296, 309
376, 145, 383, 29
177, 87, 255
311, 430, 277, 189, 180
535, 60, 379, 540
397, 348, 205, 327
30, 151, 95, 127
143, 147, 199, 245
389, 491, 5, 201
129, 132, 128
580, 475, 301
22, 252, 32, 282
33, 244, 160, 254
193, 119, 122, 25
223, 524, 191, 109
519, 79, 13, 251
207, 581, 436
68, 37, 39, 21
64, 243, 211, 286
52, 284, 250
412, 370, 575, 462
469, 432, 387
435, 81, 97, 148
179, 172, 330
56, 208, 218
473, 486, 477, 490
157, 42, 168, 197
346, 402, 513, 314
583, 51, 384
107, 280, 178, 188
331, 182, 355, 246
270, 562, 371, 529
492, 321, 417, 336
14, 149, 135
266, 400, 108, 441
57, 287, 170
45, 113, 272, 261
283, 276, 153, 279
4, 573, 377, 478
28, 10, 72
299, 92, 236, 374
419, 329, 23, 224
43, 41, 62, 538
226, 17, 77, 209
450, 509, 340, 536
421, 485, 335
58, 91, 167, 259
527, 426, 385, 495
493, 27, 350
325, 382, 542, 332
274, 38, 313, 123
512, 576, 391, 294
530, 356, 399
220, 515, 358, 222
549, 262, 202, 20
264, 169, 46
424, 541, 574, 453
392, 253, 8
50, 163, 114, 126
452, 551, 59
578, 516, 322, 18
544, 85, 361
525, 258, 422
152, 164, 268, 171
66, 256, 428, 105
470, 440, 570, 362
555, 403, 184, 312, 165
101, 36, 174, 158
431, 550, 375, 568
468, 116, 326, 345
365, 3, 481, 390
308, 418, 144, 185
240, 300, 381
44, 110, 219, 234
306, 505, 564
464, 528, 404
31, 408, 275
333, 257, 115, 70
523, 354, 461
483, 339, 548, 510
217, 230, 269
288, 227, 233
19, 40, 265
514, 237, 543
15, 449, 166, 267
80, 343, 360
302, 479, 489, 482
456, 281, 425, 409
411, 353, 429
310, 241, 420, 498
472, 467, 401
307, 526, 334, 507
372, 558, 451, 125
65, 159, 112, 83
206, 12, 98, 154
466, 352, 378, 539
121, 26, 271
248, 88, 6, 90
434, 48, 582, 351
11, 136, 73, 204
463, 359, 571, 545
192, 427, 156, 86
415, 533, 341
337, 263, 305, 537
585, 439, 517, 349
285, 75, 35, 55
444, 577, 100, 221
317, 442, 474, 547
480, 342, 484, 324
225, 228, 124, 138
290, 76, 176, 438
1, 71, 155
406, 423, 320, 388
560, 196, 410
190, 457, 447
520, 572, 328, 471
443, 111, 2, 82
215, 323, 49, 565
161, 84, 146, 278
368, 476, 521, 303
386, 448, 338, 347
150, 318, 53
380, 213, 506, 364
500, 315, 488
247, 118, 291, 298
61, 131, 367, 187
69, 24, 216, 47
552, 499, 518, 559
242, 407, 454, 175
137, 130, 433
106, 231, 249
394, 413, 94
437, 369, 446
16, 183, 212
566, 239, 522
134, 579, 78, 460
393, 194, 494, 198
405, 63, 260, 96
363, 141, 229, 162
34, 445, 139, 395
54, 373, 504
458, 232, 181
140, 503, 557
200, 133, 210, 273
117, 103, 173, 186
546, 292, 102
416, 567, 357, 293
195, 235, 9
89, 561, 366, 501
297, 99, 556, 396
104, 67, 93, 398
465, 319, 532, 459
344, 531, 563, 295
